Code,Nome,Nome fantasia,Governança
ABPS,ÁGUIA BRANCA PARTICIPAÇÕES S.A.,ÁGUIABRANCA,-
AK24,AK 24 EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,AK 24 EMPREE,-
ACEN,ALBIOMA CODORA ENERGIA S.A.,ALBIOMAENERG,-
ASOL,ALBIOMA SOLAR BRASIL LTDA,ALBIOMASOLA,-
ABFR,ALCOESTE BIOENERGIA FERNANDÓPOLIS S.A.,ALCOESTE,-
ACEL,ALDO COMPONENTES ELETRONICOS S/A,ALDOCOMPONEN,-
ALES,ALESAT COMBUSTIVEIS S/A,ALESAT,-
ALEX,ALEX ENERGIA PARTICIPACOES S.A.,ALEXENERGIAP,-
RPAD,ALFA HOLDINGS S.A.,ALFA HOLDING,-
ALGC,ALGAR TECNOLOGIA E CONSULTORIA S.A.,ALGAR,-
ALGT,ALGAR TELECOM S/A,ALGAR TELEC,-
GRCT,ALGAR TI CONSULTORIA S.A,ALGARTI,-
ALGE,ALIANCA GERACAO DE ENERGIA S.A.,ALIANCA,-
ATGP,ALIANCA TRANSPORTADORA DE GAS PARTICIPACOES S.A,ALIANCATRANS,-
ASEO,ALISEO EMPREENDIMENTOS E PARTICIPACOES S.A.,ALISEO PART,-
AALR,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,ALLIAR,NM
ALLD,ALLIED TECNOLOGIA S.A.,ALLIED,NM
ALAP,ALLONDA AMBIENTAL PARTICIPAÇÕES S.A.,ALLONDA AMBI,-
AASN,ALLONDA AMBIENTAL SANEAMENTO S.A.,ALLONDAAMBIE,-
ALOS,ALLOS S.A,ALLOS,NM
ALPK,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ESTAPAR,NM
EXCO,ALMACENES EXITO S.A.,EXITO,DR2
ALMJ,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,ALMEIDA,-
ALPA,ALPARGATAS S.A.,ALPARGATAS,N1
APER,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,ALPER S.A.,-
AVLL,ALPHAVILLE S.A.,ALPHAVILLE,NM
AUSA,ALPHAVILLE URBANISMO S/A.,ALPHAVILLE U,-
ALSR,ALSOL ENERGIAS RENOVAVEIS S.A.,ALSOL,-
ALTR,ALTERE SECURITIZADORA S.A.,ALTERE SEC,-
ALTF,ALTHAIA S.A. INDÚSTRIA FARMACÊUTICA,ALTHAIA SA,-
AERS,ALTO ENERGIA RENOVÁVEL S.A,ALTO ENERGIA,-
ALUB,ALUBAM PARTICIPACOES S/A,ALUBAM,-
ALMC,ALUBAR METAIS E CABOS S.A.,ALUBARMETAIS,-
ALMZ,ALUMAZON COMPONENTES DA AMAZONIA S.A.,ALUMAZON,MB
ALUP,ALUPAR INVESTIMENTO S/A,ALUPAR,N2
ALUS,ALUSA ENGENHARIA S.A.,ALUSAENG,-
CBLT,ALVOAR LACTEOS NORDESTE S/A,ALVOAR LACT,-
AMPS,AMAM PARTICIPACOES SPE S.A.,AMAM,-
AATA,AMATA S.A.,AMATA,-
AMTG,AMAZONAS GERAÇÃO E TRANSMISSÃO DE ENERGIA S.A.,AM GER TRANS,-
AMSC,AMAZONIA SOLAR SEC. DE CREDITOS FINANCEIROS,AMAZONIA SOL,-
AMBA,AMBAR ENERGIA LTDA,AMBARENERGIA,-
ARUG,Ambar Uruguaiana Energia S.A.,AMBARURUGUAI,-
ABEV,AMBEV S.A.,AMBEV S/A,-
AMTL,AMBIENTAL LIMPEZA URBANA E SANEAMENTO LTDA,AMB LIMPEZA,-
AMTR,AMBIENTAL METROSUL CONCESSIONARIA DE SANEAMENTO SP,AMB METROSUL,-
AMMS,AMBIENTAL MS PANTANAL SPE S.A,AMBIENTAL MS,-
ABPA,AMBIENTAL PARTICIPACOES S.A.,AMBIENTALPAR,-
AMBP,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBIPAR,NM
ANET,AMERICA NET S.A.,AMERICA NET,-
ATBR,AMERICAN TOWER DO BRASIL - CESSAO DE INFRAESTRUTUR,AMER TOWER,-
AMER,AMERICANAS S.A,AMERICANAS,NM
CBEE,AMPLA ENERGIA E SERVICOS S.A.,AMPLA ENERG,-
ANDA,ANDALI AS,ANDALIAS,-
ANDH,ANDORINHA ENERGIAS RENOVAVEIS S/A,ANDORINHA,-
CANT,ANDRADE GUTIERREZ PARTICIPACOES S.A.,AGPART,-
AGUT,ANDRADE GUTIERREZ S/A,AGUTIERREZ,-
ANEM,ANEMUS WIND HOLDING S.A.,ANEMUS WIND,-
AGEM,ANGULO45 EMPREENDIMENTOS S.A,ANGULO45 EMP,-
AEDU,ANHANGUERA EDUCACIONAL PARTICIPACOES S.A,ANHANGUERA,-
