Code,Nome,Nome fantasia,Governança
BMOL,BEMOL S.A.,BEMOL S.A.,-
BRGM,BERGAMO COMÉRCIO LTDA.,BERGAMOCOMER,-
BCEN,BEST CENTER EMPREENDIMENTOS E PARTICIPACOES S.A.,BEST CENTER,-
BPES,BETA PRODUTORA DE ENERGIA SPE SA.,BETA PROD,-
BETP,BETAPART PARTICIPACOES S.A.,BETAPART,-
BHGR,BHG S.A. - BRAZIL HOSPITALITY GROUP,BHGSA,-
BMKS,BICICLETAS MONARK S.A.,BIC MONARK,-
BGEN,BINGEN SECURITIZADORA S/A,BINGENSEC,-
BIOE,BIOENERGETICA AROEIRA S.A.,BIOENERGETIC,-
BION,BIOENERGETICA VALE DO PARACATU S/A.,BIOPARACATU,-
BFLE,BIOFLEX AGROINDUSTRIAL S.A.,BIOFLEX,-
BIOM,BIOMM S.A.,BIOMM,MA
LDCS,BIOSEV BIOENERGIA S/A,BIOSEVDIS,-
BIZC,BIZCAPITAL COMPANHIA SECURITIZADORA DE CREDITOS FI,BIZCAPITAL,-
BLAU,BLAU FARMACÊUTICA S.A.,BLAU,NM
BLOC,BLOCK FINANCIAL HOLDINGS DO BRASIL S.A.,BLOCK FINANC,-
BFFT,BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES S.A,BLUEFIT,-
BMEP,BM EMPREENDIMENTOS E PARTICIPACOES SPE S.A.,BMSA,-
BMHY,BMC HYUNDAI S.A.,BMCHYUNDAI,-
BMYE,BMYE PARTICIPAÇÕES S.A.,BMYE PARTICI,-
BNDP,BNDES PARTICIPACOES S.A. - BNDESPAR,BNDESPAR,-
BNYM,BNY MELLON BANCO S.A.,BNYMELLONBC,-
BNMS,BNY MELLON SERVICOS FINANCEIROS DTVM S.A,MELLONDTVM,-
EPNC,BOA ESPERANCA ENERGIA RENOVAVEL S.A,BOA ESPER,-
SOJA,BOA SAFRA SEMENTES S.A.,BOA SAFRA,NM
BOLD,BOLD SECURITIZADORA S.A,BOLD SECURIT,-
BLTZ,BOLTZMANN EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,BOLTZMANN EM,-
BOBR,BOMBRIL S.A.,BOMBRIL,-
BNOM,Bon Nome Solar Participacoes S.A.,BONNOMESOLAR,-
BGCE,BONFIM GERACAO E COMERCIO DE ENERGIA SPE S/A,BONFIM GERAC,-
BBRM,Borborema Transmissao de Energia S.A.,BORBTRANSENE,-
BORG,BORGATO MAQUINAS S/A,BORGATO,-
BVPL,BORRACHAS VIPAL S.A.,VIPAL,-
BPGA,BPG AV MOFARREJ EMPREENDIMENTOS E PARTICIPAÇÕES S.,BPG AV MOFAR,-
BPGC,BPG CAJAMAR EMPREENDIMENTOS E PARTICIPACOES S A,BPG CAJAMAR,-
BBHE,BPGM BH1 EMPREENDIMENTOS E PARTICIPAÇÕES S.A,BPGM BH1,-
BCEP,BPGM CAMPINAS EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,BPGM CAMP,-
REBP,BPGM REBOUCAS EMPR. E PART. S.A.,BPGM REBOUCA,-
SP1E,BPGM SP1 EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,BPGM SP1 EMP,-
BRBI,BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.,BR PARTNERS,N2
BRML,BR MALLS PARTICIPACOES S.A.,BR MALLS PAR,-
BRPT,BR PARTNERS BANCO DE INVESTIMENTO S.A.,BRPARTNERSBI,-
BDLS,BRADESCO LEASING S.A. ARREND MERCANTIL,BRADESCO LSG,-
BRAP,BRADESPAR S.A.,BRADESPAR,N1
BRDO,BRADO LOGISTICA S. A.,BRADOSA,-
BRFA,BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S/A,BRAINFARMA,-
MXCS,BRAMEX COMÉRCIO E SERVIÇOS LTDA.,BRAMEX COMER,-
BSEN,BRASAL ENERGIA S/A,BRASAL ENERG,-
BSPC,BRASAL PARTICIPACOES S/A,BRASAL,-
BBNK,BRASBUNKER PARTICIPACOES S/A,BRASBUNKER,-
BRSH,BRASHOP S/A,BRASHOPSA,-
BBFU,BRASIL BIO FUELS S.A,BRASILBIOFUE,-
BPCH,BRASIL PCH S.A.,BRASIL PCH,-
BPLR,BRASIL PLURAL S/A - BANCO MULTIPLO,BRASILPLURAL,-
TEPA,BRASIL TECNOLOGIA E PARTICIPAÇÕES S.A.,BR TECNO,-
AGRO,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,BRASILAGRO,NM
BPSE,BRASILPREV SEGUROS E PREVIDÊNCIA S.A.,BRASILPREV S,-
BRKM,BRASKEM S.A.,BRASKEM,N1
MNTI,BRASOIL MANATI EXPLORACAO PETROLIFERA S.A.,BRASOILPETRO,-
BLPE,BRASOL PARTICIPACOES E EMP S.A.,BRASOL,-
BVGE,BRAVO ARMAZENS GERAIS LTDA,BRAVO,-
BRVB,BRAVO BEEF S/A,BRAVOBEEFSA,-
BTBP,BRAZIL 3 BUSINESS PARTICIPACOES LTDA.,BRAZIL 3,-
BTCL,BRAZIL TOWER. CESSAO DE INFRA-ESTRUTURAS. LTDA,BRAZIL TOWER,-
BSCS,BRAZILIAN SECURITIES CIA DE SECURITIZACAO,BRAZILIAN SC,-
BRBC,BRB CFI S/A,BRBCFI,-
BSLI,BRB BCO DE BRASILIA S.A.,BRB BANCO,-
BTEN,BREITENER ENERGETICA S.A.,BREITENER SA,-
BTNR,BREITENER HOLDING E PARTICIPAÇÕES S.A.,BREITENERHOL,-
BRER,BRENERGIA ENERGIAS RENOVÁVEIS,BRENERGIA,-
BRND,BRENNAND ENERGIA S.A.,BRENNAND,-
BHFI,BRES HENRY FORD EMPREENDIMENTOS IMOBILIÁRIOS LTDA.,BRES HENRY F,-
BRMU,BRESCO MURICI EMPREENDIMENTOS IMOBILIÁRIOS LTDA.,BRESCO MURIC,-
BRFS,BRF S.A.,BRF SA,NM
BRTE,BRILHANTE TRANSMISSORA DE ENERGIA S.A.,BRILHANTEENE,-
BRNX,BRINOX METALURGICA S.A.,BRINOX,-
BRIT,BRISANET PARTICIPAÇÕES S.A.,BRISANET,NM
BRST,BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.,BRISANET SER,-
BREL,BRITANIA ELETRODOMESTICOS S.A,BRITANIA,-
BRKS,BRK  NE/N/CO S.A,BRKNE/N/CSA,-
CCHR,BRK AMBIENTAL - CACHOEIRO DE ITAPEMIRIM S.A.,BRKITAPEMIRI,-
ODBM,BRK AMBIENTAL - MANSO S.A.,BRKAMBIENTAL,-
RMSA,BRK AMBIENTAL - REGIÃO METROPOLITANA DE MACEIÓ S.A,BRK AMBIENTA,-
BKRC,BRK AMBIENTAL - RIO CLARO S.A.,BRK AMBIRC,-
SROP,BRK AMBIENTAL - RIO DAS OSTRAS PARTICIPACOES S.A,BRKRIODASOST,-
ODBH,BRK AMBIENTAL - SUMARE S.A,BRKSUMARE,-
BRKU,BRK AMBIENTAL - URUGUAIANA S.A,BRKURUGUAIAN,-
BRKB,BRK AMBIENTAL  BLUMENAU S.A.,BRKAMBIENTA,-
BRKC,BRK AMBIENTAL  CAÇADOR S.A.,BRKAMBCACADO,-
FOZG,BRK AMBIENTAL  GOIÁS S.A.,BRKAMBGOIAS,-
BLIM,BRK AMBIENTAL  LIMEIRA S.A.,BRK ALIMEIRA,-
BRKN,BRK AMBIENTAL CENTRO NORTE PARTICIPACOES S.A.,BRKCENTRONOR,-
BRKP,BRK AMBIENTAL PARTICIPACOES S/A,BRK AMBI PAR,-
FOZS,BRK AMBIENTAL REGIAO METROPOLITANA DO RECIFE/GOIAN,RECIFEGOIANA,-
RIOO,BRK AMBIENTAL RIO DAS OSTRAS S.A.,BRKOSTRAS,-
BRKL,BRK S/A CREDITO FINANCIAMENTO E INVESTIMENTO,BRKCFI,-
BCAN,BRKB DTVM S/A,BRKBDTVM,-
BKFE,BROOKFIELD ENERGIA RENOVAVEL S.A.,BROOKFIELDEN,-
BRQB,BRQ SOLUCOES EM INFORMATICA S.A.,BRQ,MA
HVRD,BRVIAS HOLDING VRD S.A.,BRVIA HOLD,-
BRVI,BRVIAS S/A,BRVIAS,-
BSBE,BSB ENERGETICA S.A.,BSBENERGETIC,-
BSME,BSM ENGENHARIA S.A,BSME,-
BTGH,BTG PACTUAL HOLDING S.A.,BTGHOLDING,-
UNIK,BULLLA INSTITUIÇÃO DE PAGAMENTO S.A,BULLLA,-
BZEP,BZ EMPREENDIMENTOS E PARTICIPACOES S.A.,BZ EMP PART,-
CAWP,C.A.W. PROJETOS E CONSULTORIA INDUSTRIAL LTDA,CAW PROJETOS,-
CBDB,C.B. DISTRIBUIDORA DE BEBIDAS LTDA,C.B.DISTRIB,-
C6HG,C6 HOLDING S.A.,C6HOLDING SA,-
CAIV,CA INVESTMENT (BRAZIL) S.A.,CAINVESTMENT,-
CAAT,CAATINGA CAPITAL INVESTIMENTOS E PARTICIPACOES DEB,CAATINGACAPI,-
CABA,CAB AGUAS DO AGRESTE S/A,CABAGUASAGRE,-
CGEN,CACHOEIRA GRANDE ENERGIA RENOVAVEL S.A.,CACHOEIRA GR,-
CPTE,CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.,CACHOEIRA,-
KEDU,CAEDU COMÉRCIO VAREJISTA ARTIGOS DO VESTUÁRIO S.A.,CAEDU COM SA,-
CAEL,CAELUM PARTICIPAÇÕES S.A.,CAELUM,-
CAEP,CAEP - CENTRAL ABRIL EDUCACAO E PARTICIPACOES S.A,ABRILEDUCACA,-
CAEC,CAGECE - CIA DE AGUA E ESGOTO DO CEARA,CAGECE,-
CAIT,CAIUA TRANSMISSORA DE ENERGIA S.A.,CAIUAENERGIA,-
CXSE,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,CAIXA SEGURI,NM
CLMO,CALAMO DISTRIBUIDORA DE PRODUTOS DE BELEZA S.A.,CALAMO,-
CLNG,CALANGO 6 ENERGIA RENOVAVEL S.A.,CALANGO6,-
CLGE,CALDEIRÃO GRANDE ENERGIAS RENOVÁVEIS S.A.,CALDEIRÃO GR,-
CGRS,CALDEIRAO GRANDE II SOLAR S/A.,CALDEIRAO GR,-
CNOR,CALOI NORTE S.A.,CALOINORTE,-
CCCP,CAMARGO CORREA CONSTRUCOES E PARTICIPACOES S.A,CAMCORPART,-
CCIM,CAMARGO CORREA DESENV. IMOBILIARIO S.A.,CC DES IMOB,-
CCIF,CAMARGO CORREA INVESTIMENTOS EM INFRA-ESTRUTURA S/,CAMARGOINFRA,-
CCHO,CAMARGO CORREA S/A,CAMARGO,-
CAMB,CAMBUCI S.A.,CAMBUCI,-
CAML,CAMIL ALIMENTOS S.A.,CAMIL,NM
CFMS,CAMPO FORMOSO I ENERGIAS RENOVAVEIS S/A,CAMPOFORMOSO,-
CMFI,CAMPO FORMOSO II ENERGIAS RENOVAVEIS S.A,CAMPOII,-
CLGP,CAMPO LARGO PARTICIPAÇÕES S/A,CAMPO LARGO,-
CPVV,CAMPOS DOS VENTOS V ENERGIAS RENOVAVEIS S.A.,CAMPOSVENTOS,-
CNEN,CAMPOS NOVOS ENERGIA S/A,CAMPOSNOVOS,-
CNBE,CANABRAVA ENERGETICA S/A,CANABRAVA,-
CASC,CANAL COMPANHIA DE SECURITIZACAO,CANAL SEC,-
CGCE,CANTA GERACAO E COMERCIO DE ENERGIA SPE S/A,CANTAGERACAO,-
CTRR,CANTAREIRA TRANSMISSORA DE ENERGIA S/A,CANTAREIRA,-
CTTP,CAP TC TORRES E PARTICIPAÇÕES S.A.,CAP TC TORRE,-
IGRS,CAPE IGARASSU IND. COM. DE PRODUTOS QUIMICOS LTDA,CAPEIGARASSU,-
CRNI,CAPRICORNIO S.A.,CAPRICORNIO,-
CDAI,CARANDAÍ PARTICIPAÇÕES S.A.,CARANDAIPART,-
CRNG,CARANGOLA PARTICIPAÇÕES EM ENERGIA S.A.,CARANGOLAPA,-
CRHF,Carbon Holding Financeira S.A.,CARBON HOLD,-
CRBP,CARBONO PARTICIPACOES SOCIETARIAS S.A.,CARBONO PART,-
CPCL,CARGO POLO COMERCIO LOGISTICA E TRANSPORTES LTDA,CARGO POLO,-
CTGO,CARTA GOIAS INDUSTRIA E COMERCIO DE PAPEIS S.A.,CARTAGOIAS,-
CRUN,CARUANA S/A PARTICIPACOES E EMPREENDIMENTOS,CARUANAPART,-
CARU,CARUANA S/A SOCIEDADE DE CREDITO FINANCIAMENTO E I,CARUANACFI,-
HOSK,CARVALHO HOSKEN S/A ENGENHARIA E CONSTRUCOES,CARVALHOHOSK,-
CSVE,CASA DOS VENTOS S.A,CASADOSVENTO,-
CVRJ,CASA E VIDEO BRASIL S/A,CASAEVIDEO,-
CMSF,CASHME SOLUCOES FINANCEIRAS S.A.,CASHME,-
CSTR,CASTERTECH FUNDIÇÃO E TECNOLOGIA LTDA,CASTERTECH,-
CTTL,CATTALINI TERMINAIS MARITIMOS S.A.,CATTALINI,-
CVAN,CAVAN ROCBRA INDUSTRIA E COMERCIO DE PRE MOLDADOS,CAVANROCBRA,-
CBCF,CB COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIRO,CB CIA SEC,-
CBOS,CBO SERVICOS MARITIMOS LTDA,CBOSERVMARIT,-
CBVV,CBV - CENTRO BRASILEIRO DA VISÃO S.A.,CBV - CENTRO,-
CCAB,CCAB AGRO S.A.,CCAB,-
SLFN,CCB BRASIL S/A CREDITO FINANCIAMENTOS E INVESTIMEN,CCBBRASILCFI,-
CCRO,CCR S.A.,CCR SA,NM
CDFS,CDF ASSISTENCIA E SUPORTE DIGITAL S.A.,CDF ASSISTEN,-
CEAD,CEA II CENTRAIS EOLICAS ASSURUA II SPE S/A,CEAII,-
CEIV,CEA IV - CENTRAIS EOLICAS ASSURUA IV SPE S.A.,CEAIVCENTRAI,-
CEAB,CEA MODAS S.A.,CEA MODAS,NM
CEBS,CEABS SERVIÇOS S.A.,CEABS,-
CDAR,CEDAR LOCACOES E INVESTIMENTOS S.A.,CEDARLOCACO,-
CLEX,CELEO REDES EXPANSÕES S.A.,CELEO REDES,-
CLOR,CELEO REDES TRANSMISSAO DE ENERGIA S/A,CELEO,-
CLCD,CELESC DISTRIBUICAO S.A.,CELESC DISTR,-
CLGR,CELESC GERACAO AS,CELESC GERAC,-
CESE,CELSE - CENTRAIS ELETRICAS DE SERGIPE S.A.,CELSESERGIPE,-
MAPT,CEMEPE INVESTIMENTOS S.A.,CEMEPE,-
CMCB,CEMIG CAPIM BRANCO ENERGIA S.A.,CAPIMBRANCO,-
CMGD,CEMIG DISTRIBUICAO S.A.,CEMIG DIST,-
CMGT,CEMIG GERACAO E TRANSMISSAO S.A.,CEMIG GT,-
CENB,CENCOSUD BRASIL COMERCIAL S.A.,CENCOSUD BR,-
ELET,CENTRAIS ELET BRAS S.A. - ELETROBRAS,ELETROBRAS,N1
CLSC,CENTRAIS ELET DE SANTA CATARINA S.A.,CELESC,N2
EPSA,CENTRAIS ELETRICAS DA PARAIBA S/A - EPASA,EPASA,-
CEPR,CENTRAIS ELETRICAS DE PERNAMBUCO S.A - EPESA,EPESA,-
ELTN,CENTRAIS ELETRICAS NORTE BRASIL S.A. ELETRONORTE,ELETRONORTE,-
SSRU,CENTRAIS EOLICAS ASSURUA I SPE S.A.,ASSURUAISPE,-
CEOL,CENTRAIS EOLICAS DE CAETITE PARTICIPACOES S/A,CAETITEPART,-
CCGR,CENTRAL CAPITAL GESTAO DE RECURSOS S.A.,CENTRALCAPIT,-
EANG,CENTRAL EOLICA ANGICAL S.A.,ANGICAL,-
EBFU,CENTRAL EOLICA BAIXA DO FEIJAO I S.A.,EOLICAFEIJAO,-
EBFD,CENTRAL EOLICA BAIXA DO FEIJAO II S/A,EOLICAFEIJAO,-
EBFT,CENTRAL EOLICA BAIXA DO FEIJAO III S.A,EOLICAFEIJAO,-
EBFQ,CENTRAL EOLICA BAIXA DO FEIJAO IV S.A,EOLICAFEIJAO,-
ECTT,CENTRAL EOLICA CAITITU S.A.,CAITITU,-
ECOQ,CENTRAL EOLICA COQUEIRINHO S.A.,COQUEIRINHO,-
ECRP,CENTRAL EOLICA CORRUPIAO S.A.,CORRUPIAO,-
EINH,CENTRAL EOLICA INHAMBU S.A.,INHAMBU,-
EOSP,CENTRAL EOLICA SANTO ANTONIO DE PADUA S/A,STOANTONIOPA,-
EOSC,CENTRAL EOLICA SAO CRISTOVAO S.A.,SAOCRISTOVAO,-
EOSJ,CENTRAL EOLICA SAO JORGE S.A.,SAOJORGE,-
ETMD,CENTRAL EOLICA TAMANDUA MIRIM S/A,EOLICATAMAND,-
TEIU,CENTRAL EOLICA TEIU S.A.,EOLICATEIU,-
CETS,CENTRAL EÓLICA TERRA SANTA SPE I S.A.,E TERRASANTA,-
CEII,CENTRAL EÓLICA TERRA SANTA SPE II S.A.,TERRASANTAII,-
CESO,CENTRAL FOT. BOA SORTE 18 SPE LTDA.,CENTRAL FOT,-
CFBL,CENTRAL FOT. BOA SORTE 23 SPE LTDA.,CEN BOA SOR,-
CEBO,CENTRAL FOT. CENT SORTE 22 SPE LTDA.,CENT CENT,-
CEFO,CENTRAL FOTOVOLTAICA B S 19 SPE LTDA,CENTRAL FOTO,-
CFVB,CENTRAL FOTOVOLTAICA B S 20 SPE LTDA,FOTOV,-
FOSP,CENTRAL FOTOVOLTAICA B S 21 SPE LTDA,CENTRAL BS21,-
FTSP,CENTRAL FOTOVOLTAICA SAO PEDRO II S/A,FOTOVOLT S P,-
SPIV,CENTRAL FOTOVOLTAICA SAO PEDRO IV S/A,FOTOVOLTSPIV,-
ECOL,CENTRAL GERADORA EOLICA COLONIA S.A.,COLONIA,-
EICA,CENTRAL GERADORA EOLICA ICARAI I S.A.,ICARAII,-
EICD,CENTRAL GERADORA EOLICA ICARAI II S.A.,ICARAIII,-
EAGU,CENTRAL GERADORA EOLICA TAIBA AGUIA S.A.,TAIBAAGUIA,-
EAND,CENTRAL GERADORA EOLICA TAIBA ANDORINHA S.A.,EOLICATAIBA,-
HITC,CENTRAL HIDRELETRICA PALMEIRAS DO TOCANTINS S.A.,CHPALTOCANTI,-
SUCU,CENTRAL HIDRELETRICA SUCURI S.A.,CHSUCURI,-
CENM,CENTRO METROPOLITANO DE COSMETICOS LTDA,CMCOSMETICOS,-
CPOG,CENTRO PAULISTA DE ONCOLOGIA S.A,CENTROPAULIS,-
CEOS,CEOS ADMINISTRADORA DE BENS S.A.,CEOSADM,-
CDER,CER - COMPANHIA DE ENERGIAS RENOVAVEIS,CERENERGIAS,-
CERN,CERAN - COMPANHIA ENERGETICA RIO DAS ANTAS,CERAN,-
UCAA,CERRADINHO ACUCAR ETANOL E ENERGIA S.A.,CERRADINHOEN,-
CERR,CERRADINHO BIOENERGIA S.A.,CERRADINHO,-
CESP,CESP - CIA ENERGETICA DE SAO PAULO,CESP,-
CTRL,CETREL S/A,CETREL,-
CGDE,CGD EMPREENDIMENTOS S.A.,CGD EMPREEND,-
CHPA,CHAPADA DO PIAUI I HOLDING S.A.,CHAPADAI,-
CHBR,CHB-COMPANHIA HIPOTECARIA BRASILEIRA,CHBCH,-
CHMB,CHEMBRO QUIMICA S/A,CHEMBRO QUIM,-
CHTE,CHIMARRÃO TRANSMISSORA DE ENERGIA S.A.,CHIMARRAOENE,-
BICB,CHINA CONSTRUCTION BANK (BRASIL) BCO MULTIPLO S.A.,CCBBM,-
CIEI,CI 004 EMPREENDIMENTOS IMOBILIARIOS LTDA,CI 004 EMPR,-
ARAM,CIA AGROPECUARIA DO ARAME,AGROP ARAME,MB
PCAR,CIA BRASILEIRA DE DISTRIBUICAO,P.ACUCAR-CBD,NM
CASN,CIA CATARINENSE DE AGUAS E SANEAM.-CASAN,CASAN,-
GPAR,CIA CELG DE PARTICIPACOES - CELGPAR,CELGPAR,-
FTSA,CIA DE FIACAO E TECIDOS SANTO ANTONIO,FIAC S ANTON,MB
CEGR,CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG,CEG,-
CEEB,CIA ELETRICIDADE EST. DA BAHIA - COELBA,COELBA,-
CEBR,CIA ENERGETICA DE BRASILIA,CEB,-
CMIG,CIA ENERGETICA DE MINAS GERAIS - CEMIG,CEMIG,N1
CEPE,CIA ENERGETICA DE PERNAMBUCO - CELPE,CELPE,-
COCE,CIA ENERGETICA DO CEARA - COELCE,COELCE,-
CSRN,CIA ENERGETICA DO RIO GDE NORTE - COSERN,COSERN,-
CEED,CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,CEEE-D,-
CGEE,CIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA-CEEE-G,CEEE-G,-
FESA,CIA FERRO LIGAS DA BAHIA - FERBASA,FERBASA,N1
CEDO,CIA FIACAO TECIDOS CEDRO CACHOEIRA,CEDRO,N1
CGAS,CIA GAS DE SAO PAULO - COMGAS,COMGAS,-
CTGE,CIA GERAÇÃO E TRANSMISSÃO DE ENERG ELETR SUL DO BR,CGTELETROSUL,-
HBTS,CIA HABITASUL DE PARTICIPACOES,HABITASUL,-
CHSF,CIA HIDRO ELETRICA DO SAO FRANCISCO - CHESF,CHESF,-
CATA,CIA INDUSTRIAL CATAGUASES,IND CATAGUAS,-
LCAM,CIA LOCAÇÃO DAS AMÉRICAS,LOCAMERICA,-
MSPA,CIA MELHORAMENTOS DE SAO PAULO,MELHOR SP,-
CPLE,CIA PARANAENSE DE ENERGIA - COPEL,COPEL,N2
PEAB,CIA PARTICIPACOES ALIANCA DA BAHIA,PAR AL BAHIA,-
PALF,CIA PAULISTA DE FORCA E LUZ,PAUL F LUZ,-
CPFP,CIA PIRATININGA DE FORCA E LUZ,CPFL PIRATIN,-
RSAN,CIA RIOGRANDENSE DE SANEAMENTO,CORSAN,-
SBSP,CIA SANEAMENTO BASICO EST SAO PAULO,SABESP,NM
CSMG,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,COPASA,NM
SAPR,CIA SANEAMENTO DO PARANA - SANEPAR,SANEPAR,N2
VERL,CIA SEC DE CRÉDITOS FINANCEIROS VERT-LEVE CAPITAL,VERT-LEVECAP,-
CSVO,CIA SEC DE CRÉDITOS FINANCEIROS VOLCANO II,VOLCANO II,-
CRCG,CIA SECURIT. DE CRÉDITOS FINA. CARTOES CONSIG. II,CIASECURIT,-
CRFN,CIA SECURITIZ. DE CRÉDITOS FINANCEIROS VERT PROVI,VERT PROVI,-
SCCC,CIA SECURITIZADORA CRÉD. FINANC. CONSIGNADOS BMG,CIA SEC BMG,-
SCVR,CIA SECURITIZADORA DE CREDITOS FINANCEIROS VERT 2,CIASECVERT 2,-
5VRT,CIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT 5,CIA VERT5,-
CSNA,CIA SIDERURGICA NACIONAL,SID NACIONAL,-
CTNM,CIA TECIDOS NORTE DE MINAS COTEMINAS,COTEMINAS,-
CTSA,CIA TECIDOS SANTANENSE,SANTANENSE,-
CMLA,CIARAMA MÁQUINAS LTDA,CIARAMA,-
CIBP,CIBE ENERGIA E PARTICIPACOES S. A.,CIBE,-
CFRT,CIBRAFERTIL CIA BRASILEIRA DE FERTILIZANTES,CIBRAFERTILI,-
CCLS,CICLUS AMBIENTAL DO BRASIL S.A.,CICLUS AMBIE,-
CIMO,CID MOTA I ENERGIA RENOVÁVEL S.A,CID MOTA,-
CDDN,CIDADANIA PARTICIPACOES S.A.,CIDADANIA,-
CMRV,CIDADE MARAVILHOSA IND. E COM. DE ROUPAS S.A.,CIDADE MARAV,-
CIEL,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO,CIELO,-
CSCS,CIFRA S/A CREDITO FINANCIAMENTO E INVESTIMENTO,CIFRACFI,-
CIMA,CIMAR - CIMENTOS DO MARANHAO S.A.,CIMAR,-
CMED,CIMED & CO. S.A,CIMED,-
CIME,CIMED INDUSTRIA S.A.,CIMED INDUST,-
CMSA,CIMS S.A.,CIMS,-
CINL,CINEL ALIMENTOS COM IMP EXP SA,CINEL,-
CIPS,CIPASA DESENVOLVIMENTO URBANO S/A,CIPASA,-
CIH2,CIRANDA I HOLDING 2 S.A.,CIRANDA I HO,-
CIHI,CIRANDA I HOLDING S.A.,CIRANDAIHO,-
CHDD,CIRANDA II HOLDING 2 S.A.,CIRANDA II,-
CIIH,CIRANDA II HOLDING S.A.,CIRANDAIIHOL,-
CLRJ,CL RJ 012 EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,CLRJ012 EMPR,-
CLCA,CL&AM CAPITAL FOR TECHNOLOGY AND IOT DO BRASIL S.A,CLAM CAPITAL,-
CLRN,CLARINDO PARTICIPACOES E INVESTIMENTOS S/A,CLARINDOPART,-
BCPS,CLARO S.A.,CLAROSA,-
CLSA,CLEAR SALE S.A.,CLEARSALE,NM
CLIS,CLI SUL S.A.,CLI SUL S.A.,-
DFNG,CLINICA DELFIN GONZALEZ MIRANDA S.A.,CLINICADELFI,-
CLBH,CLINICAS BRASIL HOLDING SA,CLINICAS BRA,-
CLRE,CLIQUE RETIRE TECNOLOGIA E LOGISTICA S.A.,CLIQUERETIRE,-
VVEO,CM HOSPITALAR S.A.,VIVEO,NM
COAS,COASUL COOPERATIVA AGROINDUSTRIAL,COASUL COOP,-
COAP,COBAP COMERCIO E B DE A DE PAPEL S/A,COBAP,-
CCIA,COCAL COMERCIO INDUSTRIA CANAA ACUCAR E ALCOOL S.A,COCAL,-
CCOA,COCAL PARTICIPACOES S.A.,COCAL PARTIC,-
CCAI,COCARI - COOPERATIVA AGROPECUARIA E INDUSTRIAL.,COCARI,-
CODE,CODEME ENGENHARIA S/A,CODEME,-
COGN,COGNA EDUCAÇÃO S.A.,COGNA ON,NM
VMSA,COLEGIO VIMASA S.A,VIMASA,-
CLNS,COLINAS TRANSMISSORA DE ENERGIA ELÉTRICA S/A,COLINAS ENER,-
CLAG,COLOMBO AGROINDÚSTRIA S/A,COLOMBO AGRO,-
COER,COLORADO ENERGIA RENOVÁVEL S.A.,COLORADO S.A,-
CLND,COLUMBIA DO NORDESTE S/A,COLUMBIA,-
COMR,COMERC ENERGIA S.A.,COMERC PAR,-
DPAS,COMERCIAL AUTOMOTIVA S/A,COMERCIALSA,-
BRAR,COMERCIO DE MEDICAMENTOS BRAIR LTDA,BRAIR,-
CFRI,COMFRIO SOLUCOES LOGISTICAS S. A.,COMFRIO,-
CAES,COMPANHIA ADMINISTRADORA DE EMPREENDIMENTOS E SERV,CIASERVICOS,-
JCRZ,COMPANHIA AGRICOLA USINA JACAREZINHO,CIAJACAREZIN,-
ITPE,COMPANHIA AGUAS DE ITAPEMA,AGUASDEITAPE,-
CARC,COMPANHIA ASA RENT A CAR LOCAÇÃO DE VEÍCULOS S.A.,ASA RENTCAR,-
BAUE,COMPANHIA BAUER RJ - ATIVIDADES AGROPECUARIAS E P,BAUERRJ,-
CBAV,COMPANHIA BRASILEIRA DE ALUMÍNIO,CBA,NM
CBBP,COMPANHIA BRASILEIRA DE BEBIDAS PREMIUM,PREMIUM,-
EDSE,COMPANHIA BRASILEIRA DE EDUCAÇÃO E SISTEMAS DE ENS,COMPANHIA BR,-
CBPF,COMPANHIA BRASILEIRA DE PLANOS FUNERARIOS S.A.,P FUNERARIOS,-
CBVP,COMPANHIA BRASILEIRA DE VIDROS PLANOS - CBVP,CIABRAVIDROS,-
CPDA,COMPANHIA CAMINHO AÉREO PÃO DE AÇÚCAR,CAMINHOAEREO,-
AERN,COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORT,CAERN,-
CDMG,COMPANHIA DE DESENVOLVIMENTO ECONOMICO DE MINAS G,CODEMIG,-
CEAP,COMPANHIA DE ELETRICIDADE DO AMAPÁ - CEA,CEA AMAPA,-
GASM,COMPANHIA DE GAS DE MINAS GERAIS GASMIG,GASMIG,-
